,text
0,oh and i forgot to also mention the weird color effect it has on your phone
1,that one didn't work either
2,waste of 13 bucks
3,product is useless since it does not have enough charging current to charge the 2 cellophane i was planning to use it with
4,none of the three sizes they sent with the heads would stay in my ears
5,worst customer service
6,the nagged is still lacking in ear
7,it always cuts out and makes a beep beep beep sound then says signal failed
8,the only very disappointing thing was there was no speaker
9,very disappointed in accessory
10,basically the service was very bad
11,bad choice
12,the only thing that disappointing me is the infra red port ire
13,horrible had to switch 3 times
14,it feels poorly constructed the menus are difficult to navigate and the buttons are so recessed that it is difficult to push them
15,don't make the same mistake i did
16,muddy low quality sound and the casino around the wire insert was poorly super glued and slid off
17,i advise everyone do not be fooled
18,doesn't hold charge
19,what a waste of time
20,investigation very disappointed with my decision
21,i also didn't like the on button it felt like it would crack with use
22,i bought these hoping i could make my blue heads fit better but these things made it impossible to wear
23,we have tried 2 units and they both failed within 2 months pros
24,also difficult to put on it'd recommend avoiding this product
25,50 down the drain
26,absolutely junk
27,can't store anything but phone numbers to simple
28,very disappointing
29,i would not recommend this item to anyone
30,big disappointment with calendar synce
31,not impressed
32,just does not work
33,i even fully charged it before i went to bed and turned off blue tooth and win and noticed that it only had 20 left in the morning
34,plus i seriously do not believe it is worth its steep price point
35,in my house i was getting dropped coverage upstairs and no coverage in my basement
36,the phone takes forever to charge like 2 to 5 hours literally
37,very unreliable service from two-mile
38,down the drain because of a weak snap
39,this is a simple little phone to use but the breakage is unacceptable
40,pretty piece of junk
41,this is so embarrassing and also my ears hurt if i try to push the ear plug into my ear
42,unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect
43,this is the first phone invest had that has been so cheaply made
44,awkward to use and unreliable
45,horrible phone
46,if you are looking for a good quality motor heads keep looking this isn't it
47,my father has the voters and the battery is dying
48,after a year the battery went completely dead on my heads
49,defective crap
50,poor construction
51,they work about 2 weeks then break
52,could not get strong enough signal
53,i really wanted the plant 510 to be the right one but it has too many issues for me the good
54,excellent starter wires heads
55,performed awful muffled tiny incoming sound and severe echo for those on the other end of the call
56,been battery junk
57,the design might be economic in theory but i could not stand having these in my ear
58,camera color balance is awful
59,it ditty not work most of the time with my nooks 532
60,looks good in the picture but this case was a huge disappointment
61,invest had this blue heads for some time now and still not comfortable with the way it fits on the ear
62,plug was the wrong size
63,the phone was usable and was not new
64,if i take a picture the battery drops a bar and starts beep letting me know its dining
65,it's so stupid to have to keep buying new charge car charge cradles headstones and car kits every time a new phone comes out
66,poor quality and service
67,poor product
68,investigation a bit disappointed
69,i tried talking real loud but shouting on the telephone gets old and i was still told it wasn't great
70,there's a horrible tick sound in the background on all my calls that i have never experienced before
